Country Name,Country Code,gdp_2012,gdp_2021,gdp_2022,Relative Change GDP 
Myanmar,MMR,1161.305962,1210.540688,1095.70179,-5.649172065
Middle East & North Africa (excluding high income),MNA,4953.991491,3604.888758,3952.111391,-20.22369441
Montenegro,MNE,6586.398684,9465.966408,9893.515907,50.21131246
Mongolia,MNG,4402.304523,4566.140131,4946.754811,12.3673927
Northern Mariana Islands,MNP,14247.7893,,,21.44285528
Mozambique,MOZ,667.7177895,491.8390749,541.4544255,-18.90968999
Mauritania,MRT,1850.384968,2166.044797,2190.700205,18.3915911
Mauritius,MUS,9291.236379,9062.722476,10216.29474,9.956246115
Malawi,MWI,563.0615397,633.6097333,645.1586921,14.58049371
Malaysia,MYS,10601.51091,11109.26529,11971.9276,12.9266168
North America,NAC,51881.17089,68382.93995,74164.65302,42.95100081
Namibia,NAM,6017.178488,4919.188955,4911.327635,-18.37822919
New Caledonia,NCL,37294.02281,36668.42535,,-1.677473796
Niger,NER,525.0472844,590.6294814,533.0287638,1.520144878
Nigeria,NGA,2728.022683,2065.749068,2184.421493,-19.92656415
Nicaragua,NIC,1746.421289,2064.925116,2255.425986,29.14558476
Netherlands,NLD,50070.1416,57708.11121,55985.40343,11.81395067
Norway,NOR,102175.9193,90655.39102,106148.7786,3.88825403
Nepal,NPL,794.0925593,1229.394205,1336.546047,68.31111579
Nauru,NRU,9675.959264,11632.69149,11913.65733,23.12636923
New Zealand,NZL,39973.38076,49996.42067,48249.26402,20.70348593
OECD members,OED,37241.00047,42522.45009,43260.7027,16.16417968
Oman,OMN,24722.63882,19509.46646,25056.79486,1.351619633
Other small states,OSS,14990.61435,13931.79672,15990.64736,6.671060883
Pakistan,PAK,1109.678735,1505.010193,1596.662661,43.88512735
Panama,PAN,10767.29318,15491.28979,17357.62863,61.20698434
Peru,PER,6475.719417,6635.463923,7125.829235,10.03919065
Philippines,PHL,2671.777538,3460.539401,3498.509816,30.94315549
Palau,PLW,11835.38393,12083.88815,,2.09967181
Papua New Guinea,PNG,2653.092358,2644.537173,3020.269646,13.83959691
Poland,POL,13010.75692,17999.83227,18321.28089,40.81641063
Pre-demographic dividend,PRE,1709.682289,1413.97366,1553.280512,-9.14800241
Puerto Rico,PRI,27944.73389,32601.56564,35208.63719,25.99381811
"Korea, Dem. People's Rep.",PRK,,,,0
Portugal,PRT,20563.7136,24598.47279,24274.51658,18.04539322
Paraguay,PRY,5621.244026,5959.441763,6153.055677,9.460746563
West Bank and Gaza,PSE,3067.438727,3678.635657,3789.327966,23.53394161
Pacific island small states,PSS,3484.203196,3641.558247,3874.934178,11.21435691
Post-demographic dividend,PST,42289.86207,49340.46648,50307.66936,18.95917106
French Polynesia,PYF,19864.53568,19999.07676,,0.677292851
Qatar,QAT,98041.36224,66838.32764,88046.32042,-10.19471944
Romania,ROU,8930.729912,14927.11686,15892.11853,77.94870841
Russian Federation,RUS,15420.8584,12593.15723,15345.09668,-0.491293792
Rwanda,RWA,706.139034,821.2281941,966.3271101,36.84657887
South Asia,SAS,1347.450817,2136.15806,2272.454739,68.64843676
Saudi Arabia,SAU,24069.20331,24160.67605,30436.2783,26.45320208
Sudan,SDN,1797.400757,749.7067871,1102.146484,-38.68109381
Senegal,SEN,1334.725914,1633.560119,1598.735991,19.78009674
Singapore,SGP,55547.54625,77710.06996,82807.64908,49.07526015
Solomon Islands,SLB,2087.637662,2232.536956,2203.18966,5.53506004
Sierra Leone,SLE,558.1797747,504.6212722,461.3611383,-17.34542181
El Salvador,SLV,3471.051269,4664.311223,5127.321668,47.7166792
San Marino,SMR,48433.5703,54982.45172,,13.5213683
Somalia,SOM,,446.9815596,461.77585,29.6693723
Serbia,SRB,6015.945228,9230.174447,9393.628906,56.14551912
Sub-Saharan Africa (excluding high income),SSA,1841.971772,1630.031542,1689.215655,-8.293075894
South Sudan,SSD,1114.923723,,,0
Sub-Saharan Africa,SSF,1842.969087,1630.983903,1690.387566,-8.279114505
Small states,SST,13385.11539,12638.57031,14626.50571,9.274408803
Sao Tome and Principe,STP,1319.900833,2360.543554,2404.258693,82.15449471
Suriname,SUR,8922.956186,4869.134226,5858.28606,-34.3459058
Slovak Republic,SVK,17498.3539,21782.85507,21258.11414,21.4863653
Slovenia,SVN,22641.80512,29291.40062,29457.40284,30.10183015
Sweden,SWE,58037.82132,61143.22124,55873.22081,-3.729637779
