ISO_Code,Name,Official Name,UN Country Code,Population MM,GDP B Dollars,GNI B PPP,GDP per Capita,Gini Index,Primary Energy Quads,MM BTU per Capita,Teen Birth Rate,Percent Female Legislators,Infant Mortality,Human Development Index,Corruption Perceptions Index,Happiness Index,Happy Planet Index,Freedom Score,Freedom Status,Economic Freedom Index,STC Health Index,Prosperity Index,Colonial End,Colonial Years,Colonial Transformation
URY,Uruguay,the Eastern Republic of Uruguay,858,3.473727,53.62882744,74.90408881,22785.19992,39.7,,55.00163344,57.7502,19.19191919,6.1,0.817,73,6.431,57.5,98,Free,69.3,0.86,69.1,,,
USA,United States of America,the United States of America,840,329.484123,20893.746,21286.637,63413.51386,41.4,83.21,270.0043582,17.2524,23.43387471,5.6,0.926,67,6.951,37.4,83,Free,74.8,0.76,77.1,,,
UZB,Uzbekistan,the Republic of Uzbekistan,860,34.23205,59.92995111,263.8106368,7731.144448,,1.77,,24.6288,16,15.6,0.72,28,6.179,54.1,11,Not Free,58.3,0.73,53.9,,,
VAT,Vatican,,,,,,,,,,,,,,,,,,,,,,,,
VCT,St. Vin. and Gren.,Saint Vincent and the Grenadines,670,0.110947,0.807474074,1.41317581,12700.28743,,,,47.3596,13.04347826,13.4,0.738,59,,,91,Free,66.3,0.8,,,,
VEN,Venezuela,the Bolivarian Republic of Venezuela,862,28.435943,,,,,1.36,,84.6214,22.15568862,21,0.711,14,4.892,48.9,14,Not Free,24.7,0.8,42.6,,,
VGB,British Virgin Is.,,,0.030237,,,,,,,,,,,,,,,,,,,,,
VIR,U.S. Virgin Is.,,,0.10629,4.068,,,,,,26.4094,,,,,,,,,,,,,,
VNM,Vietnam,the Socialist Republic of Viet Nam,704,97.338583,271.1584424,793.2015573,8646.912276,35.7,3.88,,27.3746,26.72064777,15.9,0.704,39,5.411,48.4,19,Not Free,61.7,0.67,58.7,1956,97,71
VUT,Vanuatu,the Republic of Vanuatu,548,0.30715,0.881547929,1.01843156,3009.733927,,,,48.3794,0,21.9,0.609,45,,60.4,82,Free,60.5,0.68,,1980,93,55
WLF,Wallis and Futuna Is.,,,,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,the Independent State of Samoa,882,0.19841,0.807100821,1.291702551,6766.228447,,,,22.7044,10,12.9,0.715,,,,81,Free,61.9,0.77,,,,
YEM,Yemen,the Republic of Yemen,887,29.825968,,,,,,,57.9728,0.332225914,43.6,0.47,16,3.658,44.6,11,Not Free,,0.2,33.3,,,
ZAF,South Africa,the Republic of South Africa,710,59.30869,335.4421014,778.8241478,13355.59871,,4.64,106.9662948,67.7896,46.34760705,27.5,0.709,44,4.956,36.2,79,Free,59.7,0.6,56.7,1994,342,100
ZMB,Zambia,the Republic of Zambia,894,18.383956,18.11063136,61.7551473,3456.322534,,,,116.4976,17.96407186,42.4,0.584,33,4.073,34.4,52,Partly Free,50.4,0.47,48,1964,75,59
ZWE,Zimbabwe,the Republic of Zimbabwe,716,14.862927,18.0511708,50.79901926,3536.034132,50.3,,,80.3622,31.85185185,38.4,0.571,23,3.145,28.6,28,Not Free,39.5,0.19,43.6,1980,92,91
